SNP,freq_alt,MAF,n_missing,pct_missing
X.9.811,0.875291,0.124709,49,5.4
X.9.812,0.530556,0.469444,7,0.77
X.9.813,0.862187,0.137813,29,3.2
X.9.814,0.767099,0.232901,59,6.5
X.9.815,0.636209,0.363791,26,2.87
X2.355,0.86036,0.13964,19,2.09
X.9.816,0.683566,0.316434,335,36.93
X1.112,0.923973,0.076027,6,0.66
X2.356,0.941307,0.058693,4,0.44
X.9.817,0.715566,0.284434,14,1.54
X.9.818,0.981605,0.018395,10,1.1
X.9.819,0.889266,0.110734,22,2.43
X.9.820,0.855124,0.144876,58,6.39
X.9.821,0.637124,0.362876,10,1.1
X2.357,0.630556,0.369444,7,0.77
X.9.822,0.574773,0.425227,245,27.01
X.9.823,0.77625,0.22375,107,11.8
X.9.824,0.587216,0.412784,70,7.72
X.9.825,0.999446,0.000554,4,0.44
X.9.826,0.835177,0.164823,3,0.33
X2.358,0.999444,0.000556,8,0.88
X.9.827,0.704826,0.295174,16,1.76
X.9.828,0.805463,0.194537,10,1.1
X.9.829,0.980663,0.019337,2,0.22
X.9.830,0.991497,0.008503,25,2.76
X.9.831,0.624161,0.375839,13,1.43
X.9.832,0.90702,0.09298,95,10.47
X0.15,0.577268,0.422732,14,1.54
X.9.833,0.983108,0.016892,19,2.09
X.9.834,0.646629,0.353371,17,1.87
X.9.835,0.592843,0.407157,390,43.0
X.9.836,0.961326,0.038674,2,0.22
X1.113,0.562271,0.437729,88,9.7
X.9.837,0.96073,0.03927,3,0.33
X.9.838,0.630513,0.369487,68,7.5
X.9.839,0.927632,0.072368,223,24.59
X.9.840,0.848837,0.151163,4,0.44
X.9.841,0.767401,0.232599,45,4.96
X.9.842,0.612443,0.387557,31,3.42
X2.359,0.611235,0.388765,8,0.88
X.9.843,0.845103,0.154897,29,3.2
X.9.844,0.827181,0.172819,13,1.43
X1.114,0.514574,0.485426,15,1.65
X2.360,0.996663,0.003337,8,0.88
X2.361,0.781625,0.218375,156,17.2
X.9.845,0.750769,0.249231,257,28.34
X.9.846,0.999448,0.000552,2,0.22
X.9.847,0.893995,0.106005,91,10.03
X.9.848,0.903869,0.096131,80,8.82
X.9.849,0.688261,0.311739,4,0.44
X2.362,0.924945,0.075055,1,0.11
X.9.850,0.98,0.02,7,0.77
X.9.851,0.700112,0.299888,15,1.65
X.9.852,0.996124,0.003876,4,0.44
X.9.853,0.957364,0.042636,4,0.44
X2.363,0.957871,0.042129,5,0.55
X.9.854,0.771868,0.228132,61,6.73
X2.364,0.933409,0.066591,21,2.32
X.9.855,0.944944,0.055056,17,1.87
X2.365,0.728795,0.271205,11,1.21
X2.366,0.945819,0.054181,58,6.39
X2.367,0.714047,0.285953,10,1.1
X2.368,0.967295,0.032705,5,0.55
X.9.856,0.540556,0.459444,7,0.77
X.9.857,0.934343,0.065657,16,1.76
X2.369,0.999401,0.000599,72,7.94
X.9.858,0.975,0.025,47,5.18
X2.370,0.876523,0.123477,4,0.44
X2.371,0.881215,0.118785,2,0.22
X.9.859,0.98453,0.01547,2,0.22
X.9.860,0.999375,0.000625,107,11.8
X.9.861,0.869565,0.130435,33,3.64
X2.372,0.999396,0.000604,79,8.71
X.9.862,0.976744,0.023256,4,0.44
X.9.863,0.879566,0.120434,31,3.42
X.9.864,0.546317,0.453683,11,1.21
X.9.865,0.89099,0.10901,8,0.88
X.9.866,0.914909,0.085091,196,21.61
X.9.867,0.876384,0.123616,94,10.36
X.9.868,0.999446,0.000554,4,0.44
X.9.869,0.899321,0.100679,23,2.54
X.9.870,0.806236,0.193764,9,0.99
X.9.871,0.826622,0.173378,13,1.43
X.9.872,0.975111,0.024889,3,0.33
X.9.873,0.522198,0.477802,6,0.66
X.9.874,0.691372,0.308628,3,0.33
X1.115,0.617222,0.382778,7,0.77
X.9.875,0.568462,0.431538,16,1.76
X.9.876,0.845515,0.154485,4,0.44
X.9.877,0.846111,0.153889,7,0.77
X.9.878,0.696,0.304,32,3.53
X2.373,0.998897,0.001103,0,0.0
X.9.879,0.981236,0.018764,1,0.11
X.9.880,0.999447,0.000553,3,0.33
X2.374,0.962389,0.037611,3,0.33
X.9.881,0.983389,0.016611,4,0.44
X.9.882,0.987818,0.012182,4,0.44
X2.375,0.940835,0.059165,45,4.96
X.9.883,0.791759,0.208241,9,0.99
X1.116,0.817073,0.182927,46,5.07
X.9.884,0.656633,0.343367,10,1.1
X.9.885,0.872079,0.127921,51,5.62
X1.117,0.963969,0.036031,5,0.55
X2.376,0.999449,0.000551,0,0.0
X.9.886,0.73417,0.26583,70,7.72
X.9.887,0.969787,0.030213,63,6.95
X2.377,0.978865,0.021135,8,0.88
X.9.888,0.693459,0.306541,5,0.55
X.9.889,0.854606,0.145394,6,0.66
X.9.890,0.885894,0.114106,35,3.86
X2.378,0.743114,0.256886,72,7.94
X.9.891,0.714043,0.285957,24,2.65
X.9.892,0.989444,0.010556,7,0.77
X1.118,0.516355,0.483645,51,5.62
X.9.893,0.53438,0.46562,238,26.24
X.9.894,0.999448,0.000552,2,0.22
X.9.895,0.565089,0.434911,62,6.84
X2.379,0.559511,0.440489,8,0.88
X1.119,0.634857,0.365143,32,3.53
X.9.896,0.623543,0.376457,49,5.4
X.9.897,0.982486,0.017514,22,2.43
X.9.898,0.531637,0.468363,180,19.85
X.9.899,0.8125,0.1875,67,7.39
X.9.900,0.573529,0.426471,23,2.54
X.9.901,0.999447,0.000553,3,0.33
X1.120,0.577009,0.422991,11,1.21
X2.380,0.959025,0.040975,4,0.44
X.9.902,0.77027,0.22973,130,14.33
X.9.903,0.998893,0.001107,4,0.44
X2.381,0.988938,0.011062,3,0.33
X.9.904,0.941785,0.058215,134,14.77
X.9.905,0.897407,0.102593,20,2.21
X2.382,0.522159,0.477841,27,2.98
X.9.906,0.707871,0.292129,5,0.55
X.9.907,0.980642,0.019358,3,0.33
X.9.908,0.817073,0.182927,5,0.55
X.9.909,0.966814,0.033186,3,0.33
X.9.910,0.995541,0.004459,10,1.1
X1.121,0.903889,0.096111,7,0.77
X1.122,0.943157,0.056843,1,0.11
X.9.911,0.538624,0.461376,195,21.5
X.9.912,0.91806,0.08194,10,1.1
X1.123,0.884925,0.115075,38,4.19
X2.383,0.935764,0.064236,43,4.74
X0.16,0.719512,0.280488,5,0.55
X2.384,0.798333,0.201667,7,0.77
X.9.913,0.849004,0.150996,3,0.33
X2.385,0.96073,0.03927,3,0.33
X.9.914,0.935738,0.064262,20,2.21
X.9.915,0.666851,0.333149,5,0.55
X1.124,0.665929,0.334071,3,0.33
X2.386,0.718091,0.281909,6,0.66
X1.125,0.775499,0.224501,5,0.55
X1.126,0.559322,0.440678,22,2.43
X.9.916,0.805489,0.194511,69,7.61
X.9.917,0.601293,0.398707,211,23.26
X.9.918,0.985646,0.014354,71,7.83
X1.127,0.844408,0.155592,4,0.44
X.9.919,0.877222,0.122778,7,0.77
X.9.920,0.624277,0.375723,215,23.7
X.9.921,0.88423,0.11577,108,11.91
X.9.922,0.878256,0.121744,24,2.65
X.9.923,0.985083,0.014917,2,0.22
X.9.924,0.938169,0.061831,66,7.28
X.9.925,0.838052,0.161948,24,2.65
X.9.926,0.972747,0.027253,8,0.88
X.9.927,0.738674,0.261326,2,0.22
X.9.928,0.98829,0.01171,53,5.84
X2.387,0.588644,0.411356,44,4.85
X.9.929,0.5,0.5,896,98.79
X2.388,0.8134,0.1866,4,0.44
X1.128,0.563474,0.436526,9,0.99
X.9.930,0.629032,0.370968,39,4.3
X.9.931,0.998895,0.001105,2,0.22
X2.389,0.78011,0.21989,2,0.22
X2.390,0.779379,0.220621,5,0.55
X.9.932,0.967204,0.032796,38,4.19
X.9.933,0.594484,0.405516,55,6.06
X2.391,0.959579,0.040421,4,0.44
X.9.934,0.718794,0.281206,194,21.39
X.9.935,0.527222,0.472778,7,0.77
X.9.936,0.936989,0.063011,50,5.51
X.9.937,0.998626,0.001374,179,19.74
X.9.938,0.709856,0.290144,4,0.44
X.9.939,0.596966,0.403034,149,16.43
X2.392,0.975,0.025,7,0.77
X1.129,0.610988,0.389012,6,0.66
X2.393,0.668519,0.331481,97,10.69
X2.394,0.873453,0.126547,18,1.98
X.9.940,0.746674,0.253326,5,0.55
X2.395,0.991131,0.008869,5,0.55
X2.396,0.963024,0.036976,1,0.11
X2.397,0.880605,0.119395,15,1.65
X.9.941,0.909714,0.090286,32,3.53
X.9.942,0.89822,0.10178,8,0.88
X.9.943,0.999446,0.000554,4,0.44
X2.398,0.874723,0.125277,5,0.55
X.9.944,0.643182,0.356818,27,2.98
X.9.945,0.64117,0.35883,18,1.98
X2.399,0.999446,0.000554,4,0.44
X.9.946,0.999444,0.000556,7,0.77
X.9.947,0.943575,0.056425,12,1.32
X.9.948,0.740499,0.259501,65,7.17
X.9.949,0.91232,0.08768,6,0.66
X.9.950,0.916944,0.083056,4,0.44
X2.400,0.992257,0.007743,3,0.33
X.9.951,0.525527,0.474473,6,0.66
X1.130,0.578375,0.421625,33,3.64
X2.401,0.984882,0.015118,14,1.54
X.9.952,0.7964,0.2036,18,1.98
X.9.953,0.88082,0.11918,5,0.55
X2.402,0.879578,0.120422,6,0.66
X.9.954,0.976079,0.023921,50,5.51
X1.131,0.634551,0.365449,4,0.44
X2.403,0.969866,0.030134,11,1.21
X2.404,0.934807,0.065193,2,0.22
X.9.955,0.987136,0.012864,13,1.43
X2.405,0.999447,0.000553,3,0.33
X.9.956,0.948124,0.051876,1,0.11
X.9.957,0.962054,0.037946,11,1.21
X2.406,0.994969,0.005031,112,12.35
X.9.958,0.969457,0.030543,23,2.54
X.9.959,0.881336,0.118664,39,4.3
X.9.960,0.8963,0.1037,15,1.65
X.9.961,0.980642,0.019358,3,0.33
X.9.962,0.816667,0.183333,7,0.77
X1.132,0.804524,0.195476,45,4.96
X.9.963,0.959339,0.040661,120,13.23
X.9.964,0.914621,0.085379,11,1.21
X.9.965,0.720424,0.279576,11,1.21
X2.407,0.830717,0.169283,15,1.65
X.9.966,0.909404,0.090596,35,3.86
X.9.967,0.511099,0.488901,6,0.66
X.9.968,0.758523,0.241477,27,2.98
X2.408,0.982143,0.017857,11,1.21
X.9.969,0.881473,0.118527,38,4.19
X.9.970,0.906874,0.093126,5,0.55
X2.409,0.901776,0.098224,6,0.66
X.9.971,0.571829,0.428171,16,1.76
X2.410,0.528281,0.471719,23,2.54
X.9.972,0.904102,0.095898,5,0.55
X2.411,0.908371,0.091629,23,2.54
X.9.973,0.690709,0.309291,89,9.81
X.9.974,0.650609,0.349391,4,0.44
X.9.975,0.926557,0.073443,56,6.17
X.9.976,0.637989,0.362011,12,1.32
X.9.977,0.567746,0.432254,73,8.05
X.9.978,0.96663,0.03337,8,0.88
X.9.979,0.988372,0.011628,4,0.44
X1.133,0.78083,0.21917,15,1.65
X2.412,0.892539,0.107461,9,0.99
X2.413,0.964326,0.035674,10,1.1
X.9.980,0.974344,0.025656,30,3.31
X1.134,0.518868,0.481132,6,0.66
X2.414,0.999447,0.000553,3,0.33
X.9.981,0.981663,0.018337,89,9.81
X2.415,0.998195,0.001805,76,8.38
X2.416,0.863793,0.136207,37,4.08
X.9.982,0.754355,0.245645,46,5.07
X2.417,0.987832,0.012168,3,0.33
X.9.983,0.605769,0.394231,23,2.54
X.9.984,0.945796,0.054204,3,0.33
X1.135,0.748891,0.251109,5,0.55
X2.418,0.943459,0.056541,5,0.55
X2.419,0.998896,0.001104,1,0.11
X.9.985,0.523087,0.476913,149,16.43
X.9.986,0.567391,0.432609,217,23.93
X2.420,0.730123,0.269877,14,1.54
X.9.987,0.999362,0.000638,123,13.56
X.9.988,0.797069,0.202931,20,2.21
X2.421,0.998894,0.001106,3,0.33
X.9.989,0.784434,0.215566,14,1.54
X.9.990,0.914318,0.085682,20,2.21
X.9.991,0.509572,0.490428,19,2.09
X2.422,0.767699,0.232301,3,0.33
X2.423,0.853933,0.146067,106,11.69
X2.424,0.986157,0.013843,4,0.44
X.9.992,0.967195,0.032805,23,2.54
X.9.993,0.612778,0.387222,7,0.77
X0.17,0.554878,0.445122,5,0.55
X.9.994,0.848754,0.151246,64,7.06
X2.425,0.985033,0.014967,5,0.55
X.9.995,0.894058,0.105942,15,1.65
X2.426,0.912921,0.087079,17,1.87
X.9.996,0.913311,0.086689,13,1.43
X.9.997,0.683867,0.316133,64,7.06
X2.427,0.90625,0.09375,11,1.21
X.9.998,0.903675,0.096325,9,0.99
X.9.999,0.601163,0.398837,47,5.18
X2.428,0.930126,0.069874,34,3.75
X.9.1000,0.832405,0.167595,9,0.99
X.9.1001,0.988215,0.011785,16,1.76
X2.429,0.980022,0.019978,6,0.66
X.9.1002,0.956618,0.043382,8,0.88
X.9.1003,0.871795,0.128205,10,1.1
X.9.1004,0.520262,0.479738,68,7.5
X.9.1005,0.999419,0.000581,47,5.18
X2.430,0.999438,0.000562,17,1.87
X.9.1006,0.998264,0.001736,43,4.74
X.9.1007,0.917038,0.082962,9,0.99
X.9.1008,0.998337,0.001663,5,0.55
X.9.1009,0.75572,0.24428,164,18.08
X.9.1010,0.590604,0.409396,13,1.43
X.9.1011,0.821839,0.178161,37,4.08
X.9.1012,0.952778,0.047222,7,0.77
X.9.1013,0.86134,0.13866,56,6.17
X2.431,0.999446,0.000554,4,0.44
X.9.1014,0.911866,0.088134,39,4.3
X.9.1015,0.515748,0.484252,18,1.98
X2.432,0.9701,0.0299,4,0.44
X.9.1016,0.935826,0.064174,11,1.21
X.9.1017,0.956384,0.043616,116,12.79
X.9.1018,0.926667,0.073333,7,0.77
X2.433,0.769401,0.230599,5,0.55
X.9.1019,0.953089,0.046911,33,3.64
X.9.1020,0.715795,0.284205,8,0.88
X.9.1021,0.820556,0.179444,7,0.77
X2.434,0.534845,0.465155,3,0.33
X2.435,0.966851,0.033149,2,0.22
X.9.1022,0.884403,0.115597,3,0.33
X.9.1023,0.999444,0.000556,8,0.88
X2.436,0.740428,0.259572,19,2.09
X.9.1024,0.629444,0.370556,7,0.77
X1.136,0.864895,0.135105,4,0.44
X.9.1025,0.539523,0.460477,110,12.13
X.9.1026,0.889258,0.110742,4,0.44
X2.437,0.999449,0.000551,0,0.0
X2.438,0.960687,0.039313,4,0.44
X.9.1027,0.836848,0.163152,6,0.66
X.9.1028,0.905765,0.094235,5,0.55
X.9.1029,0.76464,0.23536,19,2.09
X2.439,0.680758,0.319242,221,24.37
X2.440,0.986726,0.013274,3,0.33
X2.441,0.889321,0.110679,8,0.88
X.9.1030,0.985923,0.014077,19,2.09
X2.442,0.998733,0.001267,118,13.01
X.9.1031,0.964367,0.035633,23,2.54
X.9.1032,0.949074,0.050926,259,28.56
X.9.1033,0.97386,0.02614,8,0.88
X2.443,0.993355,0.006645,4,0.44
X2.444,0.983203,0.016797,14,1.54
X.9.1034,0.946078,0.053922,499,55.02
X.9.1035,0.946607,0.053393,8,0.88
X1.137,0.872041,0.127959,20,2.21
X.9.1036,0.894444,0.105556,7,0.77
X.9.1037,0.908788,0.091212,8,0.88
X.9.1038,0.998871,0.001129,21,2.32
X.9.1039,0.721883,0.278117,89,9.81
X2.445,0.989118,0.010882,34,3.75
X.9.1040,0.800853,0.199147,204,22.49
X.9.1041,0.860092,0.139908,35,3.86
X1.138,0.712541,0.287459,293,32.3
X1.139,0.5053,0.4947,58,6.39
X.9.1042,1.0,0.0,12,1.32
X2.446,0.969629,0.030371,18,1.98
X2.447,0.970166,0.029834,2,0.22
X.9.1043,0.810976,0.189024,5,0.55
X.9.1044,0.810078,0.189922,4,0.44
X.9.1045,0.921141,0.078859,13,1.43
X1.140,0.704128,0.295872,35,3.86
X.9.1046,0.99115,0.00885,3,0.33
X2.448,0.979376,0.020624,10,1.1
X.9.1047,0.538117,0.461883,15,1.65
X2.449,0.99944,0.00056,14,1.54
X.9.1048,0.993909,0.006091,4,0.44
X.9.1049,0.956811,0.043189,4,0.44
X.9.1050,0.662442,0.337558,39,4.3
X2.450,0.994994,0.005006,8,0.88
X.9.1051,0.999444,0.000556,8,0.88
X2.451,0.690281,0.309719,53,5.84
X0.18,0.600446,0.399554,11,1.21
X2.452,0.899336,0.100664,3,0.33
X2.453,0.99359,0.00641,127,14.0
X.9.1052,0.938333,0.061667,7,0.77
X.9.1053,0.679533,0.320467,350,38.59
X.9.1054,0.74,0.26,32,3.53
X.9.1055,0.913417,0.086583,35,3.86
X.9.1056,0.913288,0.086712,19,2.09
X.9.1057,0.990044,0.009956,3,0.33
X.9.1058,0.937284,0.062716,38,4.19
X2.454,0.999448,0.000552,1,0.11
X.9.1059,0.998337,0.001663,5,0.55
X.9.1060,0.655597,0.344403,94,10.36
X.9.1061,0.971376,0.028624,86,9.48
X.9.1062,0.884036,0.115964,243,26.79
X2.455,0.978405,0.021595,4,0.44
X2.456,0.881506,0.118494,4,0.44
X.9.1063,0.947753,0.052247,17,1.87
X.9.1064,0.864191,0.135809,5,0.55
X.9.1065,0.694005,0.305995,23,2.54
X.9.1066,0.884228,0.115772,13,1.43
X2.457,0.849937,0.150063,114,12.57
X2.458,0.894795,0.105205,4,0.44
X1.141,0.758724,0.241276,76,8.38
X.9.1067,0.998153,0.001847,95,10.47
X.9.1068,0.898889,0.101111,7,0.77
X1.142,0.646205,0.353795,11,1.21
X2.459,0.892135,0.107865,17,1.87
X.9.1069,0.988852,0.011148,10,1.1
X1.143,0.543065,0.456935,13,1.43
X.9.1070,0.976058,0.023942,9,0.99
X2.460,0.616898,0.383102,43,4.74
X.9.1071,0.947398,0.052602,4,0.44
X.9.1072,1.0,0.0,38,4.19
X0.19,0.538122,0.461878,2,0.22
X.9.1073,0.917595,0.082405,9,0.99
X.9.1074,0.756112,0.243888,48,5.29
X.9.1075,0.553512,0.446488,10,1.1
X.9.1076,0.999432,0.000568,27,2.98
X2.461,0.894342,0.105658,41,4.52
X1.144,0.561835,0.438165,155,17.09
X2.462,1.0,0.0,19,2.09
X.9.1077,0.548673,0.451327,3,0.33
X2.463,0.779867,0.220133,3,0.33
X2.464,0.972191,0.027809,8,0.88
X2.465,0.574777,0.425223,11,1.21
X.9.1078,0.775886,0.224114,173,19.07
X2.466,0.974062,0.025938,1,0.11
X.9.1079,0.955556,0.044444,7,0.77
X.9.1080,0.940753,0.059247,4,0.44
X1.145,0.846409,0.153591,2,0.22
X.9.1081,0.612091,0.387909,510,56.23
X2.467,0.970455,0.029545,27,2.98
X2.468,0.998857,0.001143,32,3.53
X.9.1082,0.581515,0.418485,36,3.97
X1.146,0.553916,0.446084,26,2.87
X2.469,0.891805,0.108195,126,13.89
X.9.1083,0.999395,0.000605,81,8.93
X1.147,0.831368,0.168632,59,6.5
X.9.1084,0.678771,0.321229,12,1.32
X.9.1085,0.927464,0.072536,4,0.44
X2.470,0.929366,0.070634,8,0.88
X.9.1086,0.936182,0.063818,6,0.66
X.9.1087,0.992205,0.007795,9,0.99
X2.471,0.938389,0.061611,63,6.95
X.9.1088,0.870475,0.129525,23,2.54
X.9.1089,0.991685,0.008315,5,0.55
X.9.1090,0.843795,0.156205,206,22.71
X.9.1091,0.932115,0.067885,524,57.77
X.9.1092,0.959579,0.040421,4,0.44
X.9.1093,0.991121,0.008879,6,0.66
X.9.1094,0.813981,0.186019,63,6.95
X.9.1095,0.935698,0.064302,5,0.55
X.9.1096,0.511377,0.488623,28,3.09
X.9.1097,0.815279,0.184721,30,3.31
X.9.1098,0.594431,0.405569,81,8.93
X2.472,0.823857,0.176143,10,1.1
X2.473,0.999446,0.000554,5,0.55
X.9.1099,0.996124,0.003876,4,0.44
X2.474,0.972808,0.027192,6,0.66
X.9.1100,0.973804,0.026196,29,3.2
X.9.1101,0.997727,0.002273,27,2.98
X.9.1102,0.676739,0.323261,30,3.31
X.9.1103,0.526467,0.473533,38,4.19
X1.148,0.551225,0.448775,9,0.99
X2.475,0.936053,0.063947,0,0.0
X.9.1104,0.652174,0.347826,10,1.1
X2.476,0.837486,0.162514,24,2.65
X2.477,0.888889,0.111111,295,32.52
X.9.1105,0.892818,0.107182,2,0.22
X.9.1106,0.999367,0.000633,117,12.9
X.9.1107,0.999421,0.000579,44,4.85
X.9.1108,0.85438,0.14562,28,3.09
X2.478,0.954384,0.045616,63,6.95
X2.479,0.998888,0.001112,8,0.88
X.9.1109,0.533947,0.466053,38,4.19
X.9.1110,0.719308,0.280692,11,1.21
X.9.1111,0.566667,0.433333,487,53.69
X.9.1112,0.896417,0.103583,14,1.54
X.9.1113,0.960497,0.039503,21,2.32
X.9.1114,0.875831,0.124169,5,0.55
X.9.1115,0.743048,0.256952,8,0.88
X.9.1116,0.968298,0.031702,8,0.88
X.9.1117,0.871128,0.128872,3,0.33
X2.480,0.969613,0.030387,2,0.22
X2.481,0.952244,0.047756,38,4.19
X.9.1118,0.881375,0.118625,5,0.55
X.9.1119,0.948661,0.051339,11,1.21
X.9.1120,0.97201,0.02799,121,13.34
X.9.1121,0.990599,0.009401,56,6.17
X.9.1122,0.951412,0.048588,22,2.43
X.9.1123,0.939579,0.060421,5,0.55
X.9.1124,0.995312,0.004687,587,64.72
X.9.1125,0.751412,0.248588,22,2.43
X.9.1126,0.972353,0.027647,57,6.28
X.9.1127,0.924058,0.075942,5,0.55
X2.482,0.952987,0.047013,3,0.33
X.9.1128,0.825749,0.174251,6,0.66
X2.483,0.98453,0.01547,2,0.22
X.9.1129,0.961283,0.038717,3,0.33
X2.484,0.84611,0.15389,20,2.21
X2.485,0.999415,0.000585,52,5.73
X2.486,0.853518,0.146482,40,4.41
X.9.1130,0.583333,0.416667,103,11.36
X.9.1131,0.654206,0.345794,265,29.22
X2.487,0.634228,0.365772,13,1.43
X2.488,0.603784,0.396216,35,3.86
X.9.1132,0.545765,0.454235,175,19.29
X2.489,0.977728,0.022272,9,0.99
X.9.1133,0.930556,0.069444,79,8.71
X.9.1134,0.62792,0.37208,8,0.88
X2.490,0.971143,0.028857,6,0.66
X.9.1135,0.92691,0.07309,4,0.44
X.9.1136,0.942286,0.057714,6,0.66
X2.491,0.998886,0.001114,9,0.99
X.9.1137,0.876386,0.123614,5,0.55
X2.492,0.797189,0.202811,160,17.64
X.9.1138,0.625964,0.374036,129,14.22
X.9.1139,0.937431,0.062569,4,0.44
X.9.1140,0.522674,0.477326,47,5.18
X.9.1141,0.513415,0.486585,87,9.59
X2.493,0.986696,0.013304,5,0.55
X2.494,0.691454,0.308546,6,0.66
X.9.1142,0.620344,0.379656,209,23.04
X.9.1143,0.983616,0.016384,22,2.43
X2.495,0.999449,0.000551,0,0.0
X.9.1144,0.990482,0.009518,14,1.54
X.9.1145,0.999443,0.000557,9,0.99
X.9.1146,0.541954,0.458046,37,4.08
X.9.1147,0.961197,0.038803,5,0.55
X2.496,0.998288,0.001712,31,3.42
X2.497,0.816447,0.183553,147,16.21
X1.149,0.863689,0.136311,45,4.96
X.9.1148,0.99938,0.00062,101,11.14
X.9.1149,0.994376,0.005624,18,1.98
X.9.1150,0.638735,0.361265,6,0.66
X.9.1151,0.781807,0.218193,66,7.28
X2.498,0.963768,0.036232,10,1.1
X2.499,0.941566,0.058434,0,0.0
X.9.1152,0.523121,0.476879,42,4.63
X2.500,0.968992,0.031008,4,0.44
X.9.1153,0.758065,0.241935,101,11.14
X2.501,0.969061,0.030939,2,0.22
X.9.1154,0.942778,0.057222,7,0.77
X2.502,0.883255,0.116745,59,6.5
X.9.1155,0.957055,0.042945,92,10.14
X2.503,0.799444,0.200556,7,0.77
X.9.1156,0.866408,0.133592,5,0.55
X2.504,0.706508,0.293492,108,11.91
X.9.1157,0.922247,0.077753,26,2.87
X.9.1158,0.834459,0.165541,19,2.09
X.9.1159,0.950774,0.049226,3,0.33
X2.505,0.818599,0.181401,36,3.97
X2.506,0.985588,0.014412,5,0.55
X.9.1160,0.981768,0.018232,2,0.22
X.9.1161,0.968333,0.031667,7,0.77
X.9.1162,0.835443,0.164557,38,4.19
X.9.1163,0.602235,0.397765,12,1.32
X2.507,0.974586,0.025414,2,0.22
X.9.1164,0.996102,0.003898,9,0.99
X2.508,0.873068,0.126932,1,0.11
X.9.1165,0.90566,0.09434,6,0.66
X.9.1166,0.983907,0.016093,6,0.66
X.9.1167,0.978982,0.021018,3,0.33
X.9.1168,0.997238,0.002762,2,0.22
X.9.1169,0.756818,0.243182,27,2.98
X.9.1170,0.568333,0.431667,7,0.77
X.9.1171,0.603448,0.396552,8,0.88
X2.509,0.970325,0.029675,14,1.54
X.9.1172,0.99721,0.00279,11,1.21
X1.150,0.77105,0.22895,40,4.41
X2.510,0.989876,0.010124,18,1.98
X2.511,0.987723,0.012277,11,1.21
X.9.1173,0.954647,0.045353,14,1.54
X.9.1174,0.540428,0.459572,66,7.28
X1.151,0.738014,0.261986,31,3.42
X2.512,0.998335,0.001665,6,0.66
X.9.1175,0.852806,0.147194,34,3.75
X.9.1176,0.784761,0.215239,8,0.88
X.9.1177,0.770556,0.229444,7,0.77
X.9.1178,0.614782,0.385218,14,1.54
X.9.1179,0.94029,0.05971,11,1.21
X.9.1180,0.673344,0.326656,258,28.45
X.9.1181,0.968575,0.031425,16,1.76
X.9.1182,0.906912,0.093088,10,1.1
X.9.1183,0.988713,0.011287,21,2.32
X.9.1184,0.927464,0.072536,4,0.44
X.9.1185,0.616629,0.383371,11,1.21
X.9.1186,0.976325,0.023675,20,2.21
X1.152,0.81105,0.18895,2,0.22
X2.513,0.821387,0.178613,56,6.17
X2.514,0.911654,0.088346,109,12.02
X.9.1187,0.776655,0.223345,16,1.76
X.9.1188,0.775176,0.224824,53,5.84
X.9.1189,0.922863,0.077137,6,0.66
X2.515,0.890869,0.109131,9,0.99
X2.516,0.985619,0.014381,3,0.33
X1.153,0.6404,0.3596,6,0.66
X1.154,0.658169,0.341831,44,4.85
X2.517,0.999436,0.000564,20,2.21
X1.155,0.554977,0.445023,43,4.74
X.9.1190,0.977827,0.022173,5,0.55
X.9.1191,0.787862,0.212138,9,0.99
X2.518,0.629014,0.370986,4,0.44
X1.156,0.898895,0.101105,2,0.22
X.9.1192,0.500557,0.499443,10,1.1
X.9.1193,0.838838,0.161162,29,3.2
X.9.1194,0.572472,0.427528,17,1.87
X1.157,0.920582,0.079418,13,1.43
X.9.1195,0.80226,0.19774,22,2.43
X.9.1196,0.695434,0.304566,9,0.99
X.9.1197,0.69909,0.30091,28,3.09
X0.20,0.511771,0.488229,15,1.65
X2.519,0.98674,0.01326,2,0.22
X2.520,0.983389,0.016611,4,0.44
X2.521,0.768519,0.231481,43,4.74
X.9.1198,0.99889,0.00111,6,0.66
X.9.1199,0.788653,0.211347,105,11.58
X.9.1200,0.556906,0.443094,2,0.22
X.9.1201,0.56278,0.43722,15,1.65
X.9.1202,0.829405,0.170595,16,1.76
X.9.1203,0.926174,0.073826,13,1.43
X.9.1204,0.926773,0.073227,33,3.64
X.9.1205,0.95613,0.04387,75,8.27
X2.522,0.650609,0.349391,4,0.44
X.9.1206,0.81411,0.18589,14,1.54
X1.158,0.798414,0.201586,24,2.65
X2.523,0.693459,0.306541,5,0.55
X2.524,0.7741,0.2259,46,5.07
X.9.1207,0.954036,0.045964,15,1.65
X.9.1208,0.99558,0.00442,2,0.22
X1.159,0.567148,0.432852,6,0.66
X.9.1209,0.695434,0.304566,9,0.99
X2.525,0.915094,0.084906,6,0.66
X.9.1210,0.588615,0.411385,55,6.06
X.9.1211,0.579636,0.420364,28,3.09
X2.526,0.842809,0.157191,10,1.1
X.9.1212,0.927828,0.072172,138,15.21
X.9.1213,0.999419,0.000581,47,5.18
X1.160,0.692444,0.307556,60,6.62
X1.161,0.776243,0.223757,2,0.22
X.9.1214,0.569367,0.430633,6,0.66
X2.527,0.998894,0.001106,3,0.33
X.9.1215,0.999431,0.000569,29,3.2
X.9.1216,0.868571,0.131429,32,3.53
X.9.1217,0.825893,0.174107,11,1.21
